,103
0,106
1,107
2,110
3,121
4,132
5,147
6,148
7,144
8,141
9,147
10,149
11,156
12,152
13,155
14,156
15,157
16,145
17,144
18,145
19,147
20,153
21,155
22,175
23,170
24,173
25,171
26,205
27,208
28,216
29,219
30,222
31,223
32,226
33,217
34,233
35,235
36,237
37,238
38,239
39,247
40,257
41,262
42,280
43,284
44,285
45,287
46,288
47,290
48,298
49,313
50,318
51,299
52,312
53,311
54,315
55,313
56,306
57,289
58,292
59,297
60,300
61,301
62,334
63,337
64,338
65,339
66,349
67,350
68,351
69,373
70,379
71,383
72,385
73,412
74,419
75,425
76,421
77,418
78,420
79,418
80,428
81,438
82,446
83,448
84,451
85,453
86,462
87,476
88,480
89,479
90,487
91,497
92,505
93,529
94,531
95,533
96,540
97,537
98,534
99,545
100,546
101,549
102,550
103,557
104,562
105,570
106,580
107,586
108,606
109,610
110,611
111,609
112,612
113,623
114,643
115,663
116,687
117,686
118,693
119,694
120,700
121,701
122,707
123,709
124,723
125,724
126,731
127,770
128,775
129,787
130,788
131,805
132,819
133,828
134,829
135,835
136,836
137,833
138,834
139,837
140,839
141,879
142,881
143,887
144,891
145,908
146,909
147,908
148,929
149,930
150,939
151,940
152,934
153,895
154,898
155,903
156,904
157,908
158,912
159,918
160,920
161,921
162,951
163,946
164,958
165,962
166,964
167,965
168,969
169,970
170,978
171,982
172,986
173,988
174,989
175,985
176,986
177,100
178,101
179,101
180,100
181,100
182,100
183,102
184,103
185,102
186,103
187,105
188,105
189,106
190,108
191,109
192,109
193,109
194,110
195,110
196,112
197,113
198,114
199,114
200,115
201,117
202,117
203,115
204,114
205,115
206,115
207,116
208,114
209,115
210,115
211,117
212,118
213,120
214,117
215,117
216,117
217,118
218,120
219,120
220,121
221,121
222,124
223,121
224,120
225,121
226,121
227,122
228,122
229,122
230,125
231,127
232,127
233,128
234,128
235,128
236,129
237,129
238,129
239,129
240,129
241,129
242,129
243,130
244,129
245,128
246,129
247,129
248,129
249,129
250,130
251,130
252,130
253,130
254,132
255,134
256,135
257,135
258,136
259,135
260,135
261,135
262,136
263,136
264,135
265,136
266,136
267,136
268,136
269,137
270,137
271,138
272,138
273,138
274,138
275,138
276,139
277,139
278,140
279,140
280,141
281,142
282,143
283,145
284,144
285,144
286,146
287,147
288,147
289,147
290,147
291,148
292,149
293,148
294,149
295,149
296,149
297,149
298,150
299,153
300,153
301,153
302,154
303,157
304,157
305,158
306,160
307,161
308,161
309,161
310,160
311,160
312,160
313,160
314,161
315,161
316,163
317,164
318,165
319,165
320,165
321,166
322,166
323,167
324,168
325,170
326,171
327,171
328,171
329,171
330,171
